"No.","Time","Source","Destination","Protocol","Length","Info"
"1782","27.026388","23.40.207.66","192.168.99.4","TCP","1046","80  >  50288 [PSH, ACK] Seq=1270052 Ack=1733 Win=32768 Len=992 [TCP segment of a reassembled PDU]"
"1783","27.026419","192.168.99.4","23.40.207.66","TCP","54","50288  >  80 [ACK] Seq=1733 Ack=1271044 Win=63248 Len=0"
"1784","27.056811","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1271044 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1785","27.056811","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1272504 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1786","27.056811","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1273964 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1787","27.056811","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1275424 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1788","27.056868","192.168.99.4","23.40.207.66","TCP","54","50288  >  80 [ACK] Seq=1733 Ack=1276884 Win=64240 Len=0"
"1789","27.058289","23.40.207.66","192.168.99.4","TCP","1124","80  >  50288 [PSH, ACK] Seq=1276884 Ack=1733 Win=32768 Len=1070 [TCP segment of a reassembled PDU]"
"1790","27.099195","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1277954 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1791","27.099195","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1279414 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1792","27.099195","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1280874 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1793","27.099195","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1282334 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1794","27.099195","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1283794 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1795","27.099195","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1285254 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1796","27.099195","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1286714 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1797","27.099195","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1288174 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1798","27.099195","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1289634 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1799","27.099195","23.40.207.66","192.168.99.4","TCP","1514","80  >  50288 [ACK] Seq=1291094 Ack=1733 Win=32768 Len=1460 [TCP segment of a reassembled PDU]"
"1800","27.099291","192.168.99.4","23.40.207.66","TCP","54","50288  >  80 [ACK] Seq=1733 Ack=1292554 Win=64240 Len=0"
